batch_size,learning_rate,width,dataset,model,depth
100,0.005,2048.0,CIFAR10,FCN,4.0
100,0.0075,2048.0,CIFAR10,FCN,4.0
100,0.01,2048.0,CIFAR10,FCN,4.0
100,0.02,2048.0,CIFAR10,FCN,4.0
100,0.025,2048.0,CIFAR10,FCN,4.0
100,0.03,2048.0,CIFAR10,FCN,4.0
100,0.04,2048.0,CIFAR10,FCN,4.0
100,0.05,2048.0,CIFAR10,FCN,4.0
100,0.06,2048.0,CIFAR10,FCN,4.0
100,0.07,2048.0,CIFAR10,FCN,4.0
100,0.075,2048.0,CIFAR10,FCN,4.0
100,0.08,2048.0,CIFAR10,FCN,4.0
100,0.09,2048.0,CIFAR10,FCN,4.0
100,0.1,2048.0,CIFAR10,FCN,4.0
100,0.11,2048.0,CIFAR10,FCN,4.0
100,0.12,2048.0,CIFAR10,FCN,4.0
100,0.13,2048.0,CIFAR10,FCN,4.0
100,0.14,2048.0,CIFAR10,FCN,4.0
100,0.15,2048.0,CIFAR10,FCN,4.0
100,0.16,2048.0,CIFAR10,FCN,4.0
100,0.17,2048.0,CIFAR10,FCN,4.0
100,0.18,2048.0,CIFAR10,FCN,4.0
100,0.19,2048.0,CIFAR10,FCN,4.0
100,0.192,2048.0,CIFAR10,FCN,4.0
100,0.19399999999999998,2048.0,CIFAR10,FCN,4.0
100,0.196,2048.0,CIFAR10,FCN,4.0
100,0.2,2048.0,CIFAR10,FCN,4.0
100,0.22,2048.0,CIFAR10,FCN,4.0
100,0.24,2048.0,CIFAR10,FCN,4.0
100,0.25,2048.0,CIFAR10,FCN,4.0
100,0.26,2048.0,CIFAR10,FCN,4.0
100,0.262,2048.0,CIFAR10,FCN,4.0
100,0.264,2048.0,CIFAR10,FCN,4.0
100,0.266,2048.0,CIFAR10,FCN,4.0
100,0.27,2048.0,CIFAR10,FCN,4.0
10,0.005,2048.0,CIFAR10,FCN,4.0
50,0.005,2048.0,CIFAR10,FCN,4.0
50,0.0075,2048.0,CIFAR10,FCN,4.0
50,0.01,2048.0,CIFAR10,FCN,4.0
50,0.025,2048.0,CIFAR10,FCN,4.0
50,0.05,2048.0,CIFAR10,FCN,4.0
50,0.075,2048.0,CIFAR10,FCN,4.0
50,0.1,2048.0,CIFAR10,FCN,4.0
50,0.11,2048.0,CIFAR10,FCN,4.0
50,0.12,2048.0,CIFAR10,FCN,4.0
50,0.13,2048.0,CIFAR10,FCN,4.0
50,0.1325,2048.0,CIFAR10,FCN,4.0
50,0.135,2048.0,CIFAR10,FCN,4.0
100,0.0025,2048.0,CIFAR10,FCN,6.0
100,0.005,2048.0,CIFAR10,FCN,6.0
100,0.0075,2048.0,CIFAR10,FCN,6.0
100,0.01,2048.0,CIFAR10,FCN,6.0
100,0.025,2048.0,CIFAR10,FCN,6.0
100,0.05,2048.0,CIFAR10,FCN,6.0
100,0.075,2048.0,CIFAR10,FCN,6.0
100,0.1,2048.0,CIFAR10,FCN,6.0
100,0.125,2048.0,CIFAR10,FCN,6.0
100,0.15,2048.0,CIFAR10,FCN,6.0
100,0.175,2048.0,CIFAR10,FCN,6.0
100,0.2,2048.0,CIFAR10,FCN,6.0
100,0.225,2048.0,CIFAR10,FCN,6.0
100,0.25,2048.0,CIFAR10,FCN,6.0
100,0.275,2048.0,CIFAR10,FCN,6.0
100,0.3,2048.0,CIFAR10,FCN,6.0
100,0.31,2048.0,CIFAR10,FCN,6.0
100,0.32,2048.0,CIFAR10,FCN,6.0
100,0.325,2048.0,CIFAR10,FCN,6.0
100,0.33,2048.0,CIFAR10,FCN,6.0
100,0.34,2048.0,CIFAR10,FCN,6.0
50,0.0025,2048.0,CIFAR10,FCN,6.0
50,0.005,2048.0,CIFAR10,FCN,6.0
50,0.0075,2048.0,CIFAR10,FCN,6.0
50,0.01,2048.0,CIFAR10,FCN,6.0
50,0.025,2048.0,CIFAR10,FCN,6.0
50,0.05,2048.0,CIFAR10,FCN,6.0
50,0.075,2048.0,CIFAR10,FCN,6.0
50,0.1,2048.0,CIFAR10,FCN,6.0
50,0.15,2048.0,CIFAR10,FCN,6.0
50,0.2,2048.0,CIFAR10,FCN,6.0
100,0.001,,CIFAR10,VGG11,
100,0.005,,CIFAR10,VGG11,
100,0.01,,CIFAR10,VGG11,
100,0.025,,CIFAR10,VGG11,
100,0.05,,CIFAR10,VGG11,
100,0.075,,CIFAR10,VGG11,
100,0.1,,CIFAR10,VGG11,
100,0.11,,CIFAR10,VGG11,
100,0.12,,CIFAR10,VGG11,
100,0.13,,CIFAR10,VGG11,
100,0.14,,CIFAR10,VGG11,
100,0.15,,CIFAR10,VGG11,
50,0.001,,CIFAR10,VGG11,
50,0.005,,CIFAR10,VGG11,
50,0.01,,CIFAR10,VGG11,
50,0.025,,CIFAR10,VGG11,
50,0.05,,CIFAR10,VGG11,
50,0.075,,CIFAR10,VGG11,
100,0.005,2048.0,MNIST,FCN,4.0
